caption,altcaption,label,filename,loc
Summary of the recreational length samples used in the stock assessment.,NA,len-samps,n_ca_rec_len_samples.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/DataModerate_2021/copper_rockfish/data/recreational_comps/forSS
Summary of the number of samples by year and source used to estimate length-at-age parameters.,NA,len-at-age-samps,len_at_age_data.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/DataModerate_2021/copper_rockfish/data/biology
Summary of the commercial length samples by number of trips and lengths by sex per year. ,NA,com-len-samps,CA_N_Samples.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/DataModerate_2021/copper_rockfish/data/commercial_comps/forSS
Summary of the NWFSC WCGBTS length samples by number of trips and lengths by sex per year. ,NA,wcgbts-len,north_length_SampleSize.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/DataModerate_2021/copper_rockfish/data/survey/wcgbts/forSS
"Ratio estimates of total rockfish landings south of Point Conception. ""Ratio years"" are the range of years over which ratio estimates were calculated. Sources include the NMFS SWFSC ERD Live Access Server and several volumes of the CDFG Fish Bulletin series.
of years over which ratio estimates were calculated. Sources include the NMFS SWFSC ERD
Ratio estimates of total rockfish landings south of Point Conception. ""Ratio years"" are the range
of years over which ratio estimates were calculated. Sources include the NMFS SWFSC ERD
Live Access Server and several volumes of the CDFG Fish Bulletin series.",NA,com-ratio,historical_landings_tables_2020_revised_Avila_1953.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/DataModerate_2021/copper_rockfish/data/catches/_ca
Stratification for the NWFSC WCGBT Survey used for the design-based index and length composition expansion.,NA,wcgbts-strata,nwfsc_wcgbts_strata.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/DataModerate_2021/copper_rockfish/data/survey/wcgbts/forSS
Stratification for the AFSC Slope Survey used for the design-based index and length composition expansion.,NA,afsc-strata,afsc_slope_strata.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/DataModerate_2021/copper_rockfish/data/survey/afsc_slope/forSS
Stratification for the NWFSC Slope Survey used for the design-based index and length and age composition expansion.,NA,nwfsc-strata,nwfsc_slope_strata.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/DataModerate_2021/copper_rockfish/data/survey/wcgbts/forSS
Stratification for the early Triennial Survey used for the design-based index and and length composition expansion.,NA,tri-early-strata,triennial_early_strata.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/DataModerate_2021/copper_rockfish/data/survey/triennial/forSS
Stratification for the late Triennial Survey used for the design-based index and and length composition expansion.,NA,tri-late-strata,triennial_late_strata.csv,//nwcfile/FRAM/Assessments/CurrentAssessments/DataModerate_2021/copper_rockfish/data/survey/triennial/forSS
